angry,disgust,fear,happy,sad,surprise,neutral,true_label,predicted,filename
28.247177,0.00019817206,46.62373,0.08839132,24.295753,0.0033454872,0.74140185,angry,fear,angry.png
0.16669048,1.8204453e-05,54.588665,0.9879041,27.637798,7.509287e-06,16.618925,angry,fear,angry2.png
37.425785,0.0021009177,46.95717,0.4335588,12.241522,0.11410966,2.825761,angry,fear,angryAman1.png
81.25093,0.0006736821,0.05125669,0.56216663,14.546773,0.00042975176,3.5877688,angry,angry,angryAman2.png
7.8652053,0.006495557,0.6988705,0.0071637114,7.9465137,0.009637383,83.46611,happy,neutral,happy.png
1.5808535e-05,4.0861567e-09,0.0015294665,99.16792,0.00013605882,0.15518492,0.6752047,happy,happy,happy2.png
5.2763055e-05,2.8716293e-10,0.0075230096,99.811325,0.0024176212,1.5772726e-05,0.17865309,happy,happy,happy3.png
0.004420751,2.9310174e-08,0.009227819,99.03037,0.39979425,0.0001695518,0.5560228,happy,happy,happyAman.png
0.04042014,2.0768935e-07,0.13627672,98.92182,0.6721636,0.0019882966,0.22733338,happy,happy,happyAman3.png
0.9765307,4.6717072e-05,0.066843756,72.674324,2.5118737,0.027782233,23.7426,happy,happy,hsppyAman2.png
0.008883408,1.0836725e-09,0.004020462,1.6922335e-06,0.76030135,5.3923372e-06,99.22679,neutral,neutral,neutral.png
0.2330364,2.5126178e-07,0.1632083,0.0025989464,0.39574802,0.00081867503,99.20459,neutral,neutral,neutral2.png
72.250916,0.023767827,3.169141,0.0012231577,22.088047,2.8289029e-05,2.4668787,sad,angry,sad.png
24.449003,1.9536909e-11,0.040364284,9.579294e-06,38.413956,3.2232256e-10,37.096672,sad,sad,sad2.png
0.000569258,2.565506e-14,4.229181,4.8597853e-05,95.764755,3.0141297e-07,0.0054492513,sad,sad,sadAman.png
8.180422,0.00022181851,51.14551,0.07237154,35.1854,0.103097424,5.312975,sad,fear,sadAman2.png
24.07951,1.5312214e-07,0.5484823,0.00095401215,37.717175,1.6869028e-07,37.653885,sad,sad,some_emotion.png
0.0010468126,1.7187672e-10,8.0370245,0.0063877166,4.015495e-05,91.955505,2.685993e-07,surprise,surprise,surprise.png
